"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max","Baseline Coxing CRI","Baseline Coxing CRI Max",
"1038090","125163","MasD.8+","Op MasD 8+","","LRC","London Rowing Club","LRC-LEPPARD","Accepted","Y","LRC/VRC","","","","","","","240","1276","331","677","208","208","","","240","1276","331","677","208","208",
"1038163","125163","MasD.8+","Op MasD 8+","","DAT","Dart-Totnes Amateur Rowing Club","DAT-SPEED","Accepted","N","","","","","","","","160","1280","0","0","5","20","","","160","1280","0","0","5","20",
"1038760","125163","MasD.8+","Op MasD 8+","","MAV","Maidstone Invicta Rowing Club","MAV-CHAPMAN","Accepted","N","","A","","","","","","398","438","427","437","53","53","","","398","438","427","437","53","53",
"1038888","125163","MasD.8+","Op MasD 8+","","RDG","Reading Rowing Club","RDG-WILLIAMS","Accepted","N","","B","","","","","","440","509","0","0","113","113","","","440","509","0","0","113","113",
"1038995","125163","MasD.8+","Op MasD 8+","","ZVY","Canottieri Padova, Italy","rowing cowboys","Accepted","N","","","","","","","","366","2928","0","0","48","384","","","366","2928","0","0","48","384",
"1035212","125164","MasE.8+","Op MasE 8+","","WAR","Warwick Boat Club","WAR-MORDAUNT","Accepted","N","","","","","","","","135","228","53","78","164","164","","","135","228","53","78","1","4",
"1035415","125164","MasE.8+","Op MasE 8+","","MHD","Maidenhead Rowing Club","MHD-STEEL","Accepted","N","","C","","","","","","269","606","211","295","6","12","","","269","606","211","295","6","12",
"1035454","125164","MasE.8+","Op MasE 8+","","GLR","Gloucester Rowing Club","GLR-VENN","Accepted","N","","","","","","","","553","781","166","199","28","112","","","553","781","166","199","28","112",
"1035467","125164","MasE.8+","Op MasE 8+","","HEN","Henley Rowing Club","Hen - Berrington","Accepted","N","","B","","","","","","74","243","31","59","0","0","","","48","210","32","60","0","0",
"1035616","125164","MasE.8+","Op MasE 8+","","ABN","Abingdon Rowing Club","ABN-TROUP","Accepted","N","","A","","","","","","1349","1387","217","304","211","211","","","1349","1387","217","304","211","211",
"1036139","125164","MasE.8+","Op MasE 8+","","ZWF","Akademische Ruderverbindung ""Westfalen""","ARV 508","Accepted","N","","","","","","","","0","0","0","0","0","0","","","0","0","0","0","0","0",
"1036211","125164","MasE.8+","Op MasE 8+","","STA","Star Club","STA-HUNT","Accepted","N","","","","","","","","1535","1535","41","59","88","88","","","1535","1535","41","59","88","88",
"1036432","125164","MasE.8+","Op MasE 8+","","TTR","Thames Tradesmen's Rowing Club","Carpenter","Accepted","N","","","","","","","","932","1194","30","80","15","39","","","820","1604","41","101","15","39",
"1036473","125164","MasE.8+","Op MasE 8+","","KRC","Kingston Rowing Club","KRC-WORTHINGTON","Accepted","N","","B","","","","","","464","634","78","145","220","220","","","464","634","78","145","220","220",
"1036575","125164","MasE.8+","Op MasE 8+","","PET","Peterborough City Rowing Club","PET-RYDER","Accepted","N","","","","","","","","131","330","447","462","42","42","","","131","330","447","462","42","42",
"1036759","125164","MasE.8+","Op MasE 8+","","MON","Monmouth Rowing Club","Mon-Barnett","Accepted","N","","","","","","","","1402","1414","18","69","294","294","","","1402","1414","18","69","294","294",
"1036845","125164","MasE.8+","Op MasE 8+","","SRC","Sudbury Rowing Club","SRC-ADAMS","Accepted","N","","","","","","","","232","235","67","94","36","36","","","232","235","67","94","36","36",
"1036857","125164","MasE.8+","Op MasE 8+","","CYG","Cygnet Rowing Club","CYG-WHELDAL","Accepted","N","","","","","","","","189","242","80","212","42","112","","","189","242","80","212","42","112",
"1037074","125164","MasE.8+","Op MasE 8+","","ZBT","Rg Benrath","RG Benrath","Accepted","N","","","","","","","","264","2112","0","0","33","264","","","264","2112","0","0","33","264",
"1037087","125164","MasE.8+","Op MasE 8+","","MAR","Marlow Rowing Club","MAR-KENT","Accepted","N","","","","","","","","888","959","69","200","258","258","","","888","959","69","200","258","258",
"1037258","125164","MasE.8+","Op MasE 8+","","GRO","Grosvenor Rowing Club, Chester","GRO - Bancroft","Accepted","N","","","","","","","","1450","1485","499","645","65","65","","","1459","1474","500","664","65","65",
"1037323","125164","MasE.8+","Op MasE 8+","","SHO","Shoreham Rowing Club","SHO-BAILEY","Accepted","Y","SHO/BNT","","","","","","","152","449","308","395","0","0","","","152","449","308","395","0","0",
"1037395","125164","MasE.8+","Op MasE 8+","","WLT","Walton Rowing Club","WLT-EVERINGTON","Accepted","N","","A","","","","","","1226","1621","636","937","29","116","","","1226","1621","636","937","29","116",
"1037433","125164","MasE.8+","Op MasE 8+","","ZDS","Danske Studenters Roklub","DSR Veterans","Accepted","N","","","","","","","","133","1064","0","0","0","0","","","133","1064","0","0","0","0",
"1037546","125164","MasE.8+","Op MasE 8+","","UPT","Upton Rowing Club","UPT-ROOKSBY","Accepted","N","","","","","","","","64","197","23","48","0","0","","","64","197","23","48","0","0",
"1037547","125164","MasE.8+","Op MasE 8+","","LRC","London Rowing Club","LRC-HARRIS","Accepted","N","","","","","","","","2796","3296","733","1586","443","443","","","2796","3296","733","1586","443","443",
"1037731","125164","MasE.8+","Op MasE 8+","","MAR","Marlow Rowing Club","Kirtland","Accepted","N","","A","","","","","","427","514","10","56","33","264","","","427","514","10","56","33","264",
"1037743","125164","MasE.8+","Op MasE 8+","","QBC","Quintin Boat Club","Bar Flies","Accepted","N","","","","","","","","43","117","3","24","51","68","","","43","117","3","24","51","68",
"1037763","125164","MasE.8+","Op MasE 8+","","RCH","Royal Chester Rowing Club","RCH-STEPHENS","Accepted","N","","","","","","","","685","797","461","514","14","27","","","803","900","465","529","14","27",
"1037839","125164","MasE.8+","Op MasE 8+","","REX","Rex Boat Club","REX-Menzies","Accepted","N","","","","","","","","9","35","3","16","2","8","","","9","35","3","16","2","8",
"1037890","125164","MasE.8+","Op MasE 8+","","MBC","Molesey Boat Club","MBC-BOWMAN","Accepted","N","","C","","","","","","974","1566","863","951","10","80","","","974","1566","863","951","10","80",
"1038100","125164","MasE.8+","Op MasE 8+","","BRX","Broxbourne Rowing Club","Hosking luggers","Accepted","N","","","","","","","","269","286","22","89","24","32","","","269","286","22","89","0","0",
"1038114","125164","MasE.8+","Op MasE 8+","","WLT","Walton Rowing Club","WLT-GILLESPIE","Accepted","N","","","","","","","","78","121","71","201","0","0","","","78","121","71","201","0","0",
"1038479","125164","MasE.8+","Op MasE 8+","","ARD","Ardingly Rowing Club","ARD-BANKS","Accepted","N","","","","","","","","639","795","1652","1652","0","0","","","639","795","1652","1652","0","0",
"1038761","125164","MasE.8+","Op MasE 8+","","MAV","Maidstone Invicta Rowing Club","MAV-RICKWOOD","Accepted","N","","B","","","","","","56","165","22","43","20","23","","","68","198","36","48","20","23",
"1038786","125164","MasE.8+","Op MasE 8+","","TSS","Tideway Scullers School","TSS-BRIDGER","Accepted","N","","A","","","","","","808","890","557","758","117","117","","","808","890","557","758","117","117",
"1038806","125177","MasF.4x-","Op MasF 4x-","","PTR","Putney Town Rowing Club","PTR-ROSE","Accepted","N","","A","","","","","","174","174","104","110","0","0","","","174","174","104","110","0","0",
"1035643","125165","MasF.8+","Op MasF 8+","","CHA","Champion Of The Thames (Cambridge) RC","Dreadnoughts","Accepted","N","","B","","","","","","49","162","0","0","0","0","","","49","162","0","0","0","0",
"1035772","125165","MasF.8+","Op MasF 8+","","ZWV","Wassersportverein Waldshut","WALDSHUT WV","Accepted","N","","","","","","","","96","768","0","0","0","0","","","96","768","0","0","0","0",
"1036099","125165","MasF.8+","Op MasF 8+","","ZAZ","Idroscalo Club ASD - Italy","ZAZ-SCHIAVELLO","Accepted","N","","","","","","","","5","40","0","0","0","0","","","5","40","0","0","0","0",
"1036307","125165","MasF.8+","Op MasF 8+","","QBC","Quintin Boat Club","QBC-LONERGAN","Accepted","N","","A","","","","","","2356","2699","651","917","368","368","","","2356","2699","651","917","368","368",
"1036597","125165","MasF.8+","Op MasF 8+","","BRD","Bradford Amateur Rowing Club","BRD-HOTCHIN","Accepted","N","","","","","","","","112","217","321","345","0","0","","","112","217","321","345","0","0",
"1036958","125165","MasF.8+","Op MasF 8+","","GUI","Guildford Rowing Club","GUI-MANSFIELD","Accepted","N","","","","","","","","405","603","170","197","61","61","","","405","603","170","197","61","61",
"1036993","125165","MasF.8+","Op MasF 8+","","PTR","Putney Town Rowing Club","PTR-DESMOND","Accepted","N","","B","","","","","","665","672","188","249","33","33","","","665","672","188","249","33","33",
"1037674","125165","MasF.8+","Op MasF 8+","","CRB","Crabtree Boat Club","CRB-DE SOUZA","Accepted","N","","","","","","","","788","2660","47","143","0","0","","","788","2660","47","143","0","0",
"1037989","125165","MasF.8+","Op MasF 8+","","CCO","Christs College Boat Club","Christ's College Crustaceans","Accepted","N","","A","","","","","","2","6","15","17","0","0","","","2","6","15","17","0","0",
"1038099","125165","MasF.8+","Op MasF 8+","","BRX","Broxbourne Rowing Club","Lummers delight","Accepted","N","","F","","","","","","959","1206","559","1865","26","208","","","959","1206","559","1865","26","208",
