"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Entry Status","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Coxing CRI","Coxing CRI Max","Band Name","Group",
"1036099","125165","MasF.8+","Op MasF 8+","","ZAZ","Idroscalo Club ASD - Italy","ZAZ-SCHIAVELLO","Accepted","N","","","","","","","","5","40","0","0","0","0","","",
"1036307","125165","MasF.8+","Op MasF 8+","","QBC","Quintin Boat Club","QBC-LONERGAN","Accepted","N","","A","","","","","","2356","2699","651","917","368","368","","",
"1036597","125165","MasF.8+","Op MasF 8+","","BRD","Bradford Amateur Rowing Club","BRD-HOTCHIN","Accepted","N","","","","","","","","112","217","321","345","0","0","","",
"1036958","125165","MasF.8+","Op MasF 8+","","GUI","Guildford Rowing Club","GUI-MANSFIELD","Submitted","N","","","","","","","","405","603","170","197","61","61","","",
"1036993","125165","MasF.8+","Op MasF 8+","","PTR","Putney Town Rowing Club","PTR-DESMOND","Submitted","N","","B","","","","","","586","593","179","225","33","33","","",
"1036994","125165","MasF.8+","Op MasF 8+","","PTR","Putney Town Rowing Club","PTR-GREEN","Submitted","N","","C","","","","","","322","352","102","165","34","135","","",
"1037674","125165","MasF.8+","Op MasF 8+","","CRB","Crabtree Boat Club","CRB-DE SOUZA","Accepted","N","","A","","","","","","891","2914","47","143","0","0","","",
"1037732","125165","MasF.8+","Op MasF 8+","","MAR","Marlow Rowing Club","Thomas","Submitted","N","","B","","","","","","268","344","13","60","38","38","","",
"1037989","125165","MasF.8+","Op MasF 8+","","CCO","Christs College Boat Club","Christ's College Crustaceans","Accepted","N","","","","","","","","2","6","15","17","0","0","","",
"1038099","125165","MasF.8+","Op MasF 8+","","BRX","Broxbourne Rowing Club","Lummers delight","Accepted","N","","F","","","","","","959","1206","559","1865","26","208","","",
"1038384","125165","MasF.8+","Op MasF 8+","","NRC","Nottingham Rowing Club","NRC-WILLIAMSON","Submitted","N","","","","","","","","920","920","2","5","179","179","","",
"1038416","125165","MasF.8+","Op MasF 8+","","TWK","Twickenham Rowing Club","TWK - Davidson","Accepted","N","","","","","","","","506","857","744","775","161","184","","",
"1038724","125165","MasF.8+","Op MasF 8+","","CRB","Crabtree Boat Club","CRB-DAWS","Accepted","N","","B","","","","","","403","1096","45","121","0","0","","",
"1038761","125165","MasF.8+","Op MasF 8+","","MAV","Maidstone Invicta Rowing Club","MAV-RICKWOOD","Submitted","N","","B","","","","","","68","198","36","48","20","23","","",
"1038444","125178","MasG.4x-","Op MasG 4x-","","MAA","Mortlake Anglian & Alpha Boat Club","MAA G4x- Harvey","Accepted","N","","","","","","","","55","124","305","344","0","0","","",
"1036386","125166","MasG.8+","Op MasG 8+","","QBC","Quintin Boat Club","QBC-HYSLOP","Accepted","N","","B","","","","","","963","1248","327","474","0","0","","",
"1037742","125166","MasG.8+","Op MasG 8+","","ZDH","Koninklijke Amsterdamsche Rzv De Hoop","ZDH-SILLEM","Accepted","Y","ZDH/TRC","","","","","","","0","0","0","0","694","694","","",
"1038075","125166","MasG.8+","Op MasG 8+","","ABN","Abingdon Rowing Club","ABN-WILLIAMS","Accepted","N","","","","","","","","6","33","3","13","0","0","","",
"1038164","125166","MasG.8+","Op MasG 8+","","DAT","Dart-Totnes Amateur Rowing Club","DAT-STEWART","Accepted","N","","","","","","","","406","2894","238","378","0","0","","",
"1038321","125166","MasG.8+","Op MasG 8+","","TSS","Tideway Scullers School","TSS-WATTS","Accepted","N","","","","","","","","1600","2041","387","470","249","249","","",
"1038447","125166","MasG.8+","Op MasG 8+","","UTC","Upper Thames Rowing Club","UTRC Howell","Submitted","N","","","","","","","","1558","2081","511","694","52","208","","",
"1038485","125166","MasG.8+","Op MasG 8+","","LRC","London Rowing Club","LRC-CARRE","Accepted","N","","","","","","","","60","480","29","228","0","0","","",
"1038730","125166","MasG.8+","Op MasG 8+","","ZTR","Reale Circolo Canottieri Tevere Remo","TEVERE REMO","Submitted","N","","","","","","","","0","0","0","0","0","0","","",
"1038446","125179","MasH.4x-","Op MasH 4x-","","MAA","Mortlake Anglian & Alpha Boat Club","MAA/BB H4x- Hoile","Accepted","Y","MAA/BEB","","","","","","","28","176","105","138","0","0","","",
"1035390","125167","MasH.8+","Op MasH 8+","","PGN","Pengwern Boat Club","PGN-HAYTON","Submitted","N","","","","","","","","275","286","50","138","37","37","","",
"1035825","125167","MasH.8+","Op MasH 8+","","ZOZ","Old Zealanders Denmark","ZOZ-HANSEN","Accepted","N","","","","","","","","54","432","0","0","9","72","","",
"1036905","125167","MasH.8+","Op MasH 8+","","WEY","Weybridge Rowing Club","WEY-HUDSON","Accepted","N","","","","","","","","650","672","219","366","0","0","","",
"1037682","125167","MasH.8+","Op MasH 8+","","BOA","Bradford on Avon Rowing Club","BOA-Manson","Accepted","N","","","","","","","","11","22","0","0","0","0","","",
"1038132","125230","W.8+","W 8+","","LEA","Lea Rowing Club","LEA-BONFANTI","Accepted","N","","D","","","","","","48","106","0","0","7","14","","",
"1038489","125230","W.8+","W 8+","","LEA","Lea Rowing Club","LEA-HOCKINGS","Accepted","N","","E","","","","","","1","8","0","0","0","0","","",
"1038558","125195","W.MasA.4x-","W MasA 4x-","","WAR","Warwick Boat Club","WAR-HURLEY","Accepted","N","","","","","","","","302","304","488","500","0","0","","",
"1035462","125183","W.MasA.8+","W MasA 8+","","BRI","Bridgnorth Rowing Club","BRI-FLAVELL","Accepted","N","","A","","","","","","182","256","68","137","140","160","","",
"1037639","125183","W.MasA.8+","W MasA 8+","","VRC","Vesta Rowing Club","VRC-LENNOX","Accepted","N","","","","","","","","1964","2687","493","1436","232","310","","",
"1038390","125183","W.MasA.8+","W MasA 8+","","AGE","Agecroft Rowing Club","AGE-MILLER","Submitted","N","","","","","","","","2389","2582","40","140","255","255","","",
"1036427","125184","W.MasB.8+","W MasB 8+","","TRC","Thames Rowing Club","TRC-CHICHESTER","Accepted","N","","C","","","","","","988","2080","103","328","293","293","","",
"1037221","125184","W.MasB.8+","W MasB 8+","","QBC","Quintin Boat Club","QBC/TSS/MAA/KRC/LRC","Accepted","Y","QBC/TSS/KRC/LRC/MAA","","","","","","","3850","3943","1784","2263","301","481","","",
"1037318","125184","W.MasB.8+","W MasB 8+","","UTC","Upper Thames Rowing Club","UTC-BROOKS","Accepted","N","","A","","","","","","2090","2923","1848","2873","52","208","","",
"1037450","125184","W.MasB.8+","W MasB 8+","","GLR","Gloucester Rowing Club","GLR-Hayes","Submitted","N","","","","","","","","95","149","129","203","224","224","","",
"1037745","125184","W.MasB.8+","W MasB 8+","","PET","Peterborough City Rowing Club","PET-APOSTOLIDOU","Accepted","Y","PET/LCN","","","","","","","773","773","109","130","137","137","","",
"1038121","125184","W.MasB.8+","W MasB 8+","","LLA","Llandaff Rowing Club","LLA-BRACE","Accepted","N","","","","","","","","1288","1355","191","278","356","356","","",
"1038370","125184","W.MasB.8+","W MasB 8+","","PTR","Putney Town Rowing Club","PTR-HUNT","Submitted","N","","D","","","","","","9","52","0","0","9","18","","",
"1038741","125184","W.MasB.8+","W MasB 8+","","LEA","Lea Rowing Club","LEA-CHAPMAN","Submitted","N","","A","","","","","","3190","3268","844","1638","218","218","","",
"1038087","125197","W.MasC.4x-","W MasC 4x-","","MAR","Marlow Rowing Club","MAR-PARKER","Submitted","N","","","","","","","","239","301","248","375","0","0","","",
"1038257","125197","W.MasC.4x-","W MasC 4x-","","TWK","Twickenham Rowing Club","TWK-BARNES","Submitted","N","","","","","","","","35","101","109","126","0","0","","",
"1038413","125197","W.MasC.4x-","W MasC 4x-","","ETX","Eton Excelsior Rowing Club","ETX-JOHNSON","Submitted","N","","","","","","","","0","0","1159","1159","0","0","","",
"1038501","125197","W.MasC.4x-","W MasC 4x-","","LEA","Lea Rowing Club","LEA-NICKERSON","Accepted","N","","F","","","","","","487","522","163","323","0","0","","",
"1038758","125197","W.MasC.4x-","W MasC 4x-","","PTR","Putney Town Rowing Club","PTR-SHEPHERD","Accepted","N","","A","","","","","","982","982","406","406","0","0","","",
"1035403","125185","W.MasC.8+","W MasC 8+","","AVN","Avon County Rowing Club","AVN-TUCK","Accepted","N","","","","","","","","40","61","60","72","5","20","","",
"1035802","125185","W.MasC.8+","W MasC 8+","","WRC","Wallingford Rowing Club","WRC-TOSE","Accepted","N","","","","","","","","1142","1501","169","348","122","122","","",
"1036375","125185","W.MasC.8+","W MasC 8+","","MIN","Minerva Bath Rowing Club","MIN-COOKE","Submitted","N","","","","","","","","123","185","85","142","17","27","","",
"1036385","125185","W.MasC.8+","W MasC 8+","","MIK","Milton Keynes Rowing Club","MIK-WILSON","Accepted","N","","","","","","","","1205","1214","11","38","0","0","","",
"1036703","125185","W.MasC.8+","W MasC 8+","","TRF","Trafford Rowing Club","TRF-HAMER","Accepted","N","","","","","","","","50","96","33","40","40","64","","",
"1036781","125185","W.MasC.8+","W MasC 8+","","BRX","Broxbourne Rowing Club","BRX-LAIRD","Accepted","N","","","","","","","","94","282","113","249","0","0","","",
"1037606","125185","W.MasC.8+","W MasC 8+","","TKC","Team Keane Sculling School","TKC-MAURY","Submitted","Y","TKC/SON","","","","","","","628","915","292","350","18","72","","",
"1037746","125185","W.MasC.8+","W MasC 8+","","PET","Peterborough City Rowing Club","PET-RICHARDSON","Accepted","N","","","","","","","","485","583","264","538","83","83","","",
"1038162","125185","W.MasC.8+","W MasC 8+","","MAR","Marlow Rowing Club","MAR-KNILL","Submitted","N","","","","","","","","1363","1535","151","515","347","347","","",
"1038165","125185","W.MasC.8+","W MasC 8+","","DAT","Dart-Totnes Amateur Rowing Club","DAT-JENNINGS","Accepted","N","","","","","","","","0","0","0","0","0","0","","",
"1038225","125185","W.MasC.8+","W MasC 8+","","FSC","Furnivall Sculling Club","FSC-SNEWIN","Submitted","N","","","","","","","","215","409","60","188","141","188","","",
