"CrewID","EventID","Event Identity","Event Override Name","Division Assigned","Submitting Club Index","Submitting Club","Crew Name","Composite","CompositeCode","CrewLetter","CompetitionNotes","Position In Event","Raw Time","Time","Status","Rowing CRI","Rowing CRI Max","Sculling CRI","Sculling CRI Max","Baseline Rowing CRI","Baseline Rowing CRI Max","Baseline Sculling CRI","Baseline Sculling CRI Max",
"1029300","118792","Lwt.1x","Op Lwt 1x","","WBK","Walbrook Rowing Club","WBK-GALLAGHER-2","N","","","","","","","","0","0","142","142","0","0","142","142",
"1029598","118792","Lwt.1x","Op Lwt 1x","","QBC","Quintin Boat Club","QBC-BOYD","N","","","","","","","","37","148","20","54","37","148","20","54",
"1029731","118792","Lwt.1x","Op Lwt 1x","","IMP","Imperial College Boat Club","IMP-SMITH","N","","","","","","","","0","0","750","750","0","0","750","750",
"1029732","118792","Lwt.1x","Op Lwt 1x","","IMP","Imperial College Boat Club","IMP-FRASER","N","","","","","","","","665","665","118","472","665","665","118","472",
"1029762","118792","Lwt.1x","Op Lwt 1x","","IMP","Imperial College Boat Club","IMP-WILSON","N","","","","","","","","110","220","0","0","110","220","0","0",
"1029763","118792","Lwt.1x","Op Lwt 1x","","HEN","Henley Rowing Club","HEN-GLENISTER","N","","","","","","","","231","370","11","21","231","370","11","21",
"1029768","118792","Lwt.1x","Op Lwt 1x","","NRC","Nottingham Rowing Club","NRC-HUGHES","N","","","","","","","","86","172","153","407","86","172","153","407",
"1029783","118792","Lwt.1x","Op Lwt 1x","","TSS","Tideway Scullers School","TSS-MAXWELL","N","","","","","","","","0","0","0","0","0","0","0","0",
"1029789","118792","Lwt.1x","Op Lwt 1x","","IMP","Imperial College Boat Club","IMP-BEN TIBA","N","","","","","","","","321","642","0","0","321","642","0","0",
"1029797","118792","Lwt.1x","Op Lwt 1x","","UYO","York, University of, Boat Club","UYO-TREWIN MARSHALL","N","","","","","","","","50","67","66","106","50","67","66","106",
"1026966","118803","MasA.1x","Op MasA 1x","","AKN","Auriol Kensington Rowing Club","AKN-MEARING-SMITH","N","","","","","","","","396","396","158","421","396","396","158","421",
"1026987","118803","MasA.1x","Op MasA 1x","","TRC","Thames Rowing Club","TRC-RYAN","N","","","","","","","","144","230","205","547","144","230","205","547",
"1026988","118803","MasA.1x","Op MasA 1x","","TRC","Thames Rowing Club","TRC-LEE","N","","","","","","","","79","90","218","218","79","90","218","218",
"1027298","118803","MasA.1x","Op MasA 1x","","GLR","Gloucester Rowing Club","GLR-RODFORD","N","","","","","","","","8","64","165","220","8","64","165","220",
"1027317","118803","MasA.1x","Op MasA 1x","","UTC","Upper Thames Rowing Club","UTC-CARTER","N","","","","","","","","50","198","650","650","50","198","650","650",
"1027697","118803","MasA.1x","Op MasA 1x","","SON","Sons of the Thames Rowing Club","SON-BRINKER","N","","","","","","","","357","357","25","33","357","357","25","33",
"1027698","118803","MasA.1x","Op MasA 1x","","SON","Sons of the Thames Rowing Club","SON-REYNOLDS","N","","","","","","","","285","380","21","82","285","380","21","82",
"1028182","118803","MasA.1x","Op MasA 1x","","CYG","Cygnet Rowing Club","CYG-SEARS","N","","","","","","","","41","66","0","0","41","66","0","0",
"1028241","118803","MasA.1x","Op MasA 1x","","ABN","Abingdon Rowing Club","ABN-FERGUS","N","","","","","","","","0","0","68","68","0","0","68","68",
"1028294","118803","MasA.1x","Op MasA 1x","","CBR","Bristol, City of, Rowing Club","CBR-PASCOVITCH","N","","","","","","","","366","586","66","528","366","586","66","528",
"1028296","118803","MasA.1x","Op MasA 1x","","CBR","Bristol, City of, Rowing Club","CBR-WADSWORTH","N","","","","","","","","395","395","14","54","395","395","14","54",
"1028326","118803","MasA.1x","Op MasA 1x","","LEA","Lea Rowing Club","LEA-CARDELLA","N","","","","","","","","49","56","90","180","49","56","90","180",
"1028549","118803","MasA.1x","Op MasA 1x","","","Dubai Rowing & Sculling Club","-CLEMENTS","N","","A","","","","","","0","0","0","0","0","0","0","0",
"1028708","118803","MasA.1x","Op MasA 1x","","TSS","Tideway Scullers School","TSS-BECKETT","N","","","","","","","","581","581","376","376","581","581","376","376",
